0,0,0
0.002,3.2892e-06,1.0649e-08
0.004,1.5417e-05,1.4808e-06
0.006,2.5195e-05,1.4664e-06
0.008,4.5512e-05,5.4542e-06
0.01,7.489e-05,4.4849e-06
0.012,0.00010961,6.0431e-06
0.014,0.00014776,9.1018e-06
0.016,0.00019488,1.142e-05
0.018,0.00025152,3.5704e-06
0.02,0.00030363,1.2912e-05
0.022,0.00037911,4.2296e-06
0.024,0.0004658,2.4776e-07
0.026,0.00056435,8.9766e-06
0.028,0.00064646,1.0295e-05
0.03,0.00071337,9.3234e-06
0.032,0.00081294,1.336e-05
0.034,0.00092069,1.4212e-05
0.036,0.0010501,3.4715e-06
0.038,0.0011275,3.7983e-05
0.04,0.001284,3.7647e-05
0.042,0.0014108,3.9251e-05
0.044,0.0015675,9.9986e-06
0.046,0.0017971,4.596e-05
0.048,0.0020775,1.7497e-05
0.05,0.0022714,3.7534e-06
